"YYYYMM","Natural gas","Oil","Others"
199609,0,,2.328408
199610,0,,5.121864
199611,0,,4.642344
199612,0,,5.802084
199701,0.142419,,5.866884
199702,0,,5.640300
199703,0.251183,,6.482700
199704,0,,6.389172
199705,3.657451,,7.901532
199706,4.237174,,8.328852
199707,3.200292,,7.633692
199708,0,,3.109860
199709,0.435650,,7.483896
199710,3.688225,,7.311240
199711,5.164679,,7.716960
199712,0,,7.574616
199801,4.747062,,7.606908
199802,3.042582,,6.574608
199803,1.617574,,7.607520
199804,4.494045,,7.559604
199805,1.998588,,7.987284
199806,0,,7.568676
199807,14.706192,,7.107012
199808,1.748659,,1.914480
199809,8.637624,,7.659864
199810,8.975600,,4.603896
199811,8.039851,,7.237188
199812,11.010111,,7.941276
199901,13.175088,,7.812252
199902,10.878065,,6.825276
199903,13.122643,,7.960716
199904,25.308799,,7.408656
199905,15.079542,,7.743492
199906,11.461613,,3.318768
199907,14.249791,,7.355664
199908,11.842415,,7.547400
199909,12.873354,,7.559676
199910,0,,7.172604
199911,0,,7.506432
199912,0,,7.429356
200001,,,7.666740
200002,,,6.773112
200003,,,7.187688
200004,,,7.182396
200005,,,7.238988
200006,,,7.709616
200007,,,7.971588
200008,,,2.856168
200009,,,4.945608
200010,,,7.611192
200011,,,7.144560
200012,,,7.148520
200101,,,7.093512
200102,,,6.509268
200103,,,6.822612
200104,,,3.697236
200105,,,7.049448
200106,,,6.436548
200107,,,6.993180
200108,,,6.869340
200109,,,6.317676
200110,,,6.809256
200111,,,6.706980
200112,,,6.112368
200201,,,7.058376
200202,,,6.194880
200203,,,6.799032
200204,,,6.701904
200205,,,6.831756
200206,,,6.541668
200207,,,6.372540
200208,,,5.838876
200209,,,1.646100
200210,,,5.231160
200211,,,6.081084
200212,,,6.260796
200301,,,6.264036
200302,,,5.367024
200303,,,5.942376
200304,,,5.738184
200305,,,5.612112
200306,,,3.611304
200307,,,5.545548
200308,,,5.427864
200309,,,4.666644
200310,,,5.719752
200311,,,5.310036
200312,,,5.310540
200401,,,5.128704
200402,,,4.423212
200403,,,5.172444
200404,,,4.644396
200405,,,3.889692
200406,,,4.762008
200407,,,4.698900
200408,,,1.950984
200409,,,1.536012
200410,,,5.322852
200411,,,6.108588
200412,,,5.840496
200501,,,5.894136
200502,,,5.080428
200503,,,5.032980
200504,,,5.658768
200505,,,5.188428
