"YYYYMM","Natural gas","Oil","Others"
199010,263.337000,1906.740000,
199011,308.083000,1948.500000,
199012,292.896000,1730.124000,
199101,623.777000,3958.128000,
199102,641.306000,4368.060000,
199103,696.751000,4544.028000,
199104,672.914000,4481.856000,
199105,615.206000,4440.636000,
199106,764.051000,4673.052000,
199107,805.498000,4919.796000,
199108,326.692000,2299.752000,
199109,850.851000,5378.868000,
199110,871.520000,5718.672000,
199111,867.992000,5453.100000,
199112,684.128000,4705.668000,
199201,759.616000,4534.128000,
199202,687.183000,3926.016000,
199203,795.435000,3854.448000,
199204,920.918000,4161.888000,
199205,768.570000,3437.136000,
199206,741.655000,4157.280000,
199207,1009.514000,4135.644000,
199208,1026.840000,4013.784000,
199209,795.133000,3674.844000,
199210,1041.383000,3765.744000,
199211,909.748000,3288.060000,
199212,976.906000,3402.432000,
199301,957.935000,3184.416000,
199302,788.699000,2708.748000,
199303,773.814000,2909.340000,
199304,733.177000,2549.160000,
199305,679.108000,2444.328000,
199306,651.890000,2640.096000,
199307,738.074000,2669.292000,
199308,725.095000,2587.536000,
199309,594.575000,2350.980000,
199310,636.330000,2492.388000,
199311,586.261000,2385.864000,
199312,649.529000,2329.884000,
199401,594.182000,2179.440000,
199402,399.580000,1616.328000,
199403,540.961000,2028.996000,
199404,532.538000,1895.976000,
199405,533.217000,1875.924000,
199406,500.678000,1866.924000,
199407,499.880000,2052.324000,
199408,188.167000,1192.572000,
199409,611.503000,1910.484000,
199410,480.545000,2002.500000,
199411,467.237000,1802.952000,
199412,459.751000,1764.072000,
199501,425.817000,1723.428000,
199502,417.550000,1557.288000,
199503,423.884000,1660.572000,
199504,413.144000,1615.644000,
199505,379.265000,1479.780000,
199506,397.397000,1539.360000,
199507,398.720000,1578.960000,
199508,431.352000,1560.564000,
199509,463.890000,1325.916000,
199510,373.342000,1452.636000,
199511,348.187000,1397.916000,
199512,450.067000,1957.752000,
199601,449.928000,1995.552000,
199602,408.032000,1939.356000,
199603,442.317000,1878.912000,
199604,408.286000,1701.648000,
199605,448.563000,1762.776000,
199606,429.297000,1666.332000,
199607,440.888000,1716.876000,
199608,399.736000,1421.784000,
199609,391.771000,1588.284000,
199610,439.728000,1582.992000,
199611,375.443000,1412.964000,
199612,374.805000,1508.184000,
199701,376.471000,1473.516000,
199702,349.972000,1373.760000,
199703,355.059000,1435.032000,
199704,306.448000,1341.144000,
199705,329.765000,1384.236000,
199706,326.400000,1484.748000,
199707,376.540000,1525.824000,
199708,319.529000,1386.684000,
199709,393.588000,1687.320000,
199710,318.551000,1219.824000,
199711,268.580000,1241.280000,
199712,246.892000,1283.184000,
199801,279.112000,1242.468000,
199802,261.590000,1283.652000,
199803,301.740000,1213.452000,
199804,263.688000,1180.080000,
199805,299.309000,1324.008000,
199806,254.694000,1153.296000,
199807,316.390000,1324.044000,
199808,27.662000,125.532000,
199809,62.833000,382.860000,
199810,74.106000,437.940000,
199811,78.735000,478.116000,
199812,68.648000,423.792000,
199901,72.513000,426.060000,
199902,89.448000,438.372000,
199903,35.270000,211.752000,
199904,27.771000,229.284000,
199905,27.964000,350.424000,
199906,34.818000,225.504000,
199907,121.926000,590.904000,
199908,77.830000,718.308000,
199909,15.078000,218.988000,
199910,39.136000,298.764000,
199911,56.290000,422.460000,
199912,115.383000,577.656000,
200001,34.372448,231.660000,
200002,40.517804,306.468000,
200003,48.166847,318.780000,
200004,34.939513,231.300000,
200005,51.726750,387.144000,
200006,33.661598,257.148000,
200007,43.583139,373.788000,
200008,31.121813,230.796000,
200009,27.468900,234.684000,
200010,66.953851,494.640000,
200011,27.215136,180.828000,
200012,19.395569,146.844000,
200101,98.489529,924.984000,
200102,107.249325,1099.008000,
200103,150.300827,1237.176000,
200104,171.038595,1181.700000,
200105,184.479221,1374.120000,
200106,160.543077,1029.744000,
200107,169.898784,1128.708000,
200108,80.417468,698.292000,
200109,112.957679,1029.024000,
200110,223.221386,1502.316000,
200111,176.199488,1184.256000,
200112,174.041071,1171.872000,
200201,150.668540,1140.012000,
200202,135.461935,1054.872000,
200203,151.026329,1071.432000,
200204,170.874964,1178.316000,
200205,148.170766,1133.820000,
200206,150.273505,1092.348000,
200207,223.336506,1235.916000,
200208,144.474049,827.712000,
200209,200.197898,1126.296000,
200210,236.247286,1349.604000,
200211,184.669267,1010.844000,
200212,243.812461,1168.272000,
200301,224.131793,1142.064000,
200302,223.132165,1069.416000,
200303,205.966921,1031.976000,
200304,214.240195,1109.700000,
200305,232.925251,1024.200000,
200306,232.931469,1037.520000,
200307,231.883919,971.820000,
200308,148.564038,738.180000,
200309,124.633708,725.040000,
200310,0,1056.384000,
200311,0,978.372000,
200312,0,981.036000,
200401,223.919261,1034.568000,
200402,224.334624,881.928000,
200403,204.644172,917.388000,
200404,191.491438,841.104000,
200405,215.774527,955.080000,
200406,217.099980,982.908000,
200407,202.270836,946.908000,
200408,127.933706,630.900000,
200409,90.620919,634.824000,
200410,200.041828,898.236000,
200411,181.057515,794.196000,
200412,123.123027,623.952000,
200501,103.987439,623.808000,
200502,202.557657,813.132000,
