"YYYYMM","Diesel","Natural gas","Flaring"
200001,,,
200002,,,
200003,,,
200004,,,
200005,,,
200006,,,
200007,,,
200008,,,
200009,,,
200010,,,
200011,,,
200012,,,
200101,,,
200102,,,
200103,,,
200104,,,
200105,,,
200106,,,
200107,,,
200108,,,
200109,,,
200110,,,
200111,,,
200112,,,
200201,,,
200202,,,
200203,,,
200204,,,
200205,,,
200206,,,
200207,,,
200208,,,
200209,,,
200210,,,
200211,,,
200212,,,
200301,,,
200302,,,
200303,,,
200304,,,
200305,,,
200306,,,
200307,,,
200308,,,
200309,,,
200310,,,
200311,,,
200312,,,
200401,,,
200402,,,
200403,,,
200404,,,
200405,,,
200406,,,
200407,,,
200408,,,
200409,,,
200410,,,
200411,,,
200412,,,
200501,,,
200502,,,
200503,,,
200504,,,
200505,,,
200506,,,
200507,,,
200508,,,
200509,,,
200510,,,
200511,,,
200512,,,
200601,,,
200602,,,
200603,,,
200604,,,
200605,,,
200606,,,
200607,,,
200608,,,
200609,,,
200610,,,
200611,,,
200612,,,
200701,,,
200702,,,
200703,,,
200704,,,
200705,,,
200706,,,
200707,,,
200708,,,
200709,,,
200710,,,
200711,,,
200712,,,
200801,,,
200802,,,
200803,,,
200804,,,
200805,,,
200806,,,
200807,,,
200808,,,
200809,,,
200810,,,
200811,,,
200812,,,
200901,,,
200902,,,
200903,,,
200904,,,
200905,,,
200906,,,
200907,,,
200908,,,
200909,,,
200910,,,
200911,,,
200912,,,
201001,,,
201002,,,
201003,,,
201004,,,
201005,,,
201006,,,
201007,,,
201008,,,
201009,,,
201010,,,
201011,,,
201012,,,
201101,,,
201102,,,
201103,,,
201104,,,
201105,,,
201106,,,
201107,,,
201108,,,
201109,,,
201110,,,
201111,,,
201112,,,
201201,,,
201202,,,
201203,,,
201204,,,
201205,,,
201206,,,
201207,,,
201208,,,
201209,,,
201210,,,
201211,,,
201212,,,
201301,,,
201302,,,
201303,,,
201304,,,
201305,,,
201306,,,
201307,,,
201308,,,
201309,,,
201310,,,
201311,,,
201312,,,
201401,,,
201402,,,
201403,,,
201404,,,
201405,,,
201406,,,
201407,,,
201408,,,
201409,,,
201410,,,
201411,,,
201412,,,
201501,,,
201502,,,
201503,,,
201504,,,
201505,,,
201506,,,
201507,,,
201508,,,
201509,,,
201510,,,
201511,,,
201512,,,
201601,0,39.601583,1.398476
201602,0,37.350781,1.495743
201603,0,43.920650,1.604869
201604,0,41.101245,1.577860
201605,0,42.320804,1.930969
201606,26.186215,6.813830,1.421079
201607,0,38.340786,1.774529
201608,0,40.234920,1.798487
201609,0,37.011540,1.656390
201610,0,38.904394,1.699024
201611,0,37.851744,2.541046
201612,19.350156,34.244343,1.572036
201701,0,37.797050,3.610963
201702,0,37.809824,2.004734
201703,0,32.965279,1.876190
201704,0,44.171441,1.859605
201705,0,36.699068,2.552061
201706,11.739025,35.300136,2.094051
201707,0,37.590471,2.008462
201708,0,37.058570,1.979619
201709,0,33.898540,1.556691
201710,0,30.060404,1.438668
201711,0,33.437703,1.186633
201712,12.497862,37.610467,1.443202
201801,0,38.498770,1.601180
201802,0,35.617780,1.476578
201803,0,37.778531,1.679059
201804,0,36.667864,2.000686
201805,0,35.617010,2.094749
201806,21.198011,2.395452,1.378178
201807,0,37.643525,2.032206
201808,0,35.274069,1.553057
201809,0,30.992343,1.462082
201810,0,36.458402,1.206721
201811,0,32.687720,1.242581
201812,18.529730,36.989826,1.196301
201901,0,37.422389,1.271424
201902,0,40.798918,1.323225
201903,0,42.878438,1.557197
201904,0,51.328050,1.727089
201905,0,54.849124,1.834681
201906,18.812088,5.158086,1.057625
201907,0,49.752388,1.990268
201908,0,45.170613,1.740430
201909,0,27.135413,1.182466
201910,0,49.013835,1.657417
201911,0,42.028945,1.475693
201912,18.455611,44.951455,1.371120
202001,0,50.020835,1.444080
202002,0,46.983103,1.305967
202003,0,0,0
202004,0,0,0
202005,0,0,0
202006,0,0,0
202007,0,0,0
202008,0,0,0
202009,0,0,0
202010,0,0,0
202011,0,0,0
202012,0,0,0
202101,0,0,0
202102,0,0,0
202103,0,0,0
202104,0,0,0
202105,0,0,0
202106,0,0,0
202107,0,0,0
202108,0,0,0
202109,0,0,0
202110,0,0,0
202111,0,0,0
202112,0,0,0
202201,0,0,0
202202,0,0,0
202203,0,0,0
202204,0,0,0
202205,0,0,0
202206,0,0,0
202207,0,0,0
202208,0,0,0
202209,0,0,0
202210,0,0,0
202211,0,0,0
202212,0,0,0
202301,0,0,0
202302,0,0,0
202303,0,0,0
202304,0,0,0
202305,0,0,0
202306,0,0,0
202307,0,0,0
202308,0,0,0
202309,0,0,0
202310,0,0,0
202311,0,0,0
202312,0,0,0
202401,0,0,0
202402,0,0,0
202403,0,0,0
202404,0,0,0
202405,0,0,0
202406,0,0,0
202407,0,0,0
202408,0,0,0
202409,0,0,0
202410,0,0,0
202411,0,0,0
202412,0,0,0
202501,0,0,0
202502,0,0,0
