"YYYYMM","Diesel","Natural gas","Flaring"
201001,0,450.331426,55.629091
201002,0,393.211100,64.211342
201003,0,435.814394,52.724010
201004,0,435.585556,40.016519
201005,0,409.564369,48.345456
201006,148.175860,400.873889,103.130516
201007,0,458.002296,70.455161
201008,0,136.168292,13.584865
201009,0,139.310670,76.628713
201010,0,438.197313,46.341010
201011,0,456.951888,50.017698
201012,144.933017,484.414867,44.410177
201101,0,437.025546,58.114443
201102,0,392.533652,60.088822
201103,9.949635,468.270761,37.424577
201104,29.480400,421.200473,44.443709
201105,0,438.230403,41.387670
201106,0,423.316384,59.092455
201107,0,477.832574,108.762004
201108,0,274.727297,79.709700
201109,0,226.727697,74.364052
201110,0,449.055582,60.323926
201111,0,419.177583,56.947234
201112,223.903638,457.992912,44.303114
201201,0,429.543682,59.581535
201202,0,398.472294,97.299837
201203,0,405.899739,58.032600
201204,0,423.615377,56.406232
201205,0,423.433366,75.316385
201206,130.082265,410.994162,57.565422
201207,0,441.819267,50.394143
201208,0,344.899197,40.043377
201209,0,340.233414,45.168842
201210,0,410.728917,82.696387
201211,0,364.236216,75.412703
201212,98.906742,422.789730,92.082641
201301,0,384.135197,56.340625
201302,0,319.317177,47.229733
201303,0,329.441500,59.071370
201304,0,372.648632,41.692781
201305,0,355.891860,49.541409
201306,81.734409,348.716328,40.389357
201307,0,403.716476,98.391850
201308,0,437.925208,59.433639
201309,0,396.166588,61.234771
201310,0,379.960496,86.221645
201311,0,429.815046,44.156723
201312,119.100816,405.842521,71.367796
201401,0,450.372398,45.292655
201402,0,431.285406,62.743053
201403,0,461.543705,41.226809
201404,0,385.199438,126.212925
201405,0,398.818681,51.106386
201406,101.707380,190.892199,44.524167
201407,0,436.637707,41.678046
201408,0,460.326562,42.466001
201409,0,446.464330,46.254815
201410,0,452.674086,52.952532
201411,23.915975,437.092654,36.546399
201412,28.069026,471.656041,35.325492
201501,0,458.532276,53.581815
201502,0,413.758667,51.138663
201503,0,447.258695,77.279636
201504,51.461723,425.527053,131.599073
201505,93.968775,342.881295,82.116797
201506,0,476.899571,52.343244
201507,0,445.032043,52.887491
201508,0,436.340657,50.126093
201509,0,399.763488,38.152728
201510,0,450.540410,39.869411
201511,0,414.553535,39.436332
201512,33.791908,448.281109,40.752757
201601,0,464.161934,43.566005
201602,0,452.659504,39.254413
201603,0,445.115595,62.346977
201604,0,437.459222,50.923090
201605,25.795350,447.165940,71.124225
201606,0,460.751618,34.398842
201607,0,464.752792,42.658550
201608,0,433.747025,74.548789
201609,0,414.764739,41.222709
201610,0,394.351055,56.543597
201611,0,425.600327,33.270761
201612,38.029716,447.279012,35.092983
201701,0,436.669177,53.058498
201702,17.319735,406.218658,43.398887
201703,0,439.183472,33.114043
201704,0,448.285357,35.998445
201705,0,446.518660,34.872980
201706,0,405.929982,38.384885
201707,0,406.255162,38.995307
201708,0,213.850701,40.287551
201709,0,229.548816,68.676357
201710,0,429.184225,59.661739
201711,0,418.367908,34.723232
201712,50.789644,383.309981,46.649862
201801,35.265929,397.808153,76.923825
201802,0,404.688873,37.262537
201803,11.239403,430.003008,33.108236
201804,0,474.514170,26.153310
201805,8.869915,516.574823,37.773523
201806,21.889197,464.554779,56.227984
201807,0,417.013089,35.946086
201808,14.629649,465.786037,25.057523
201809,7.370100,402.157974,47.803734
201810,14.187443,406.419564,41.585750
201811,11.055150,442.616529,24.361851
201812,1.823547,470.701440,28.823148
201901,0,463.651192,34.691734
201902,0,415.194392,21.878685
201903,0,356.394064,30.848995
201904,0,310.607466,32.191220
201905,0,314.177012,24.938483
201906,310.686566,33.682302,18.406176
201907,0,320.244919,38.243029
201908,0,357.218578,146.258887
201909,0,388.188747,71.992944
201910,0,402.263653,21.951019
201911,0,379.447104,30.253496
201912,259.132716,383.170550,21.461272
202001,0,390.875305,28.437873
202002,0,360.016888,33.136286
202003,0,417.463755,33.143924
202004,0,398.193861,40.092264
202005,0,498.935188,33.752519
202006,45.141863,466.979501,24.118159
202007,0,479.880139,47.080084
202008,0,454.364395,28.968023
202009,0,356.961340,31.576100
202010,0,134.274289,10.323182
202011,0,193.754341,35.157075
202012,75.027618,418.324210,36.422654
202101,0,431.251808,30.364019
202102,0,418.011747,30.921774
202103,0,442.354922,38.201130
202104,0,449.723962,30.432798
202105,0,449.350513,34.158791
202106,51.295896,427.137915,57.702033
202107,0,482.548039,32.890814
202108,0,436.325798,32.946815
202109,0,423.698803,30.763172
202110,0,454.779513,37.205345
202111,0,415.894876,41.994875
202112,42.783431,475.360063,34.728824
202201,0,483.844297,49.345934
202202,0,430.813369,70.339830
202203,0,505.557748,45.191605
202204,0,487.228318,35.289221
202205,0,485.413780,40.421487
202206,34.418367,477.203207,31.740858
202207,0,469.134444,31.595410
202208,0,454.612692,33.768030
202209,0,424.941972,54.928245
202210,0,464.046369,54.240115
202211,0,453.042499,34.897163
202212,49.682028,513.506650,29.752492
202301,25.625838,481.608504,61.459805
202302,0,415.850659,33.556464
202303,0,418.694039,55.500411
202304,0,410.351223,62.556235
202305,0,433.081832,39.022314
202306,66.220349,444.212451,33.347706
202307,0,427.423225,34.384171
202308,0,457.923620,26.725445
202309,0,359.098883,44.930632
202310,0,326.565633,45.978358
202311,0,364.146744,32.627027
202312,33.474994,415.011423,28.288932
202401,0,368.244163,45.488362
202402,0,396.832076,27.271405
202403,0,417.913988,26.423492
202404,0,442.666308,29.881759
202405,0,198.456819,30.261980
202406,76.464788,441.098019,39.844968
202407,0,462.419676,26.442432
202408,0,435.464827,28.714091
202409,0,437.545026,32.243459
202410,0,415.348736,66.545072
202411,0,384.026082,44.702352
202412,40.518230,322.770395,36.741367
202501,0,378.257878,35.993812
202502,0,354.781517,30.640015
202503,0,339.285527,26.341910
202504,0,401.359641,27.321239
202505,0,370.440423,29.731977
202506,30.217410,416.318850,40.775694
202507,0,476.834209,36.454773
202508,0,392.947078,29.814721
