"YYYYMM","Natural gas","Oil","Others"
199905,,2.184012,
199906,,7.266636,
199907,,18.286524,
199908,,16.681608,
199909,,23.156712,
199910,,25.483248,
199911,,23.257692,
199912,,24.114384,
200001,,22.221972,
200002,,25.323624,
200003,,22.328532,
200004,,26.127036,
200005,,26.482716,
200006,,15.114852,
200007,,24.079644,
200008,,23.908860,
200009,,21.891852,0
200010,3.033393,23.945688,0.579600
200011,12.182549,24.603984,1.969164
200012,5.891218,26.116560,0.969552
200101,19.758082,25.599492,3.479436
200102,15.198183,22.516992,2.463048
200103,21.468698,25.062228,3.571704
200104,22.022960,25.286364,3.362508
200105,12.936693,26.222508,1.432332
200106,23.679219,27.036936,3.023100
200107,29.888890,29.040336,4.647240
200108,11.848983,24.594912,2.552256
200109,0,22.683384,0
200110,0,23.114376,0
200111,0,21.632112,0
200112,0,26.729244,0
200201,10.503116,24.083748,2.486340
200202,16.128314,22.448520,2.743416
200203,20.487359,24.516504,5.366412
200204,21.232694,23.450652,5.164956
200205,26.865382,23.463684,8.875584
200206,17.784664,25.123824,4.444776
200207,30.775376,27.736452,9.543060
200208,28.437885,26.097048,11.441772
200209,7.982511,21.831804,3.577572
200210,34.573322,25.399188,13.381200
200211,34.600485,25.523532,12.197484
200212,36.108738,26.667216,14.100264
200301,19.019353,21.883680,9.446796
200302,21.567156,19.982556,9.660492
200303,39.686114,23.747904,16.656948
200304,38.950935,22.699152,14.927868
200305,34.220561,24.149844,13.635432
200306,36.054135,21.680964,13.857120
200307,39.509177,22.167468,15.620868
200308,38.137800,20.783232,14.721264
200309,17.543364,10.989504,6.672708
200310,34.811551,21.093372,13.032324
200311,36.557127,20.286180,13.845096
200312,38.115514,20.509416,13.767948
200401,34.587279,19.684404,13.305420
200402,34.344292,17.948988,12.723336
200403,37.015203,18.598320,14.049288
200404,35.635426,16.809660,13.628808
200405,34.789919,18.795168,12.805668
200406,34.045560,16.972848,11.864088
200407,30.006874,17.913852,11.502000
200408,16.318418,14.995116,4.547844
200409,26.402096,14.765328,9.396324
200410,38.143154,15.783372,11.710908
200411,37.865410,15.522480,11.779380
200412,38.814766,15.900660,11.378484
200501,35.850168,15.587316,10.811016
200502,32.263356,13.997916,10.082340
200503,39.402440,14.991444,12.604284
200504,37.544419,14.072868,12.283380
200505,35.138693,14.317416,11.162736
200506,31.007624,12.988980,9.289656
200507,34.291305,13.844664,8.697312
200508,36.055350,14.288328,8.063028
200509,34.107204,13.842504,8.844192
200510,19.837528,12.080124,6.400116
200511,37.335202,13.380480,11.092356
200512,37.770122,13.541364,11.288268
200601,28.625226,12.654936,8.163720
200602,34.680956,12.379752,9.189324
200603,38.624163,14.294628,8.706672
200604,32.223015,11.808288,9.708480
200605,31.937837,9.652464,10.303380
200606,28.207181,11.424924,9.447012
200607,37.544173,12.932748,10.196208
200608,38.025893,12.598308,9.557820
200609,14.146301,9.837000,4.258332
200610,30.141630,21.502188,
200611,29.833524,21.864132,
200612,36.730439,23.154696,
200701,43.624304,23.776200,
200702,38.016426,20.998224,
200703,33.082353,20.945808,
200704,43.346155,21.218652,
200705,44.770265,21.839580,
200706,33.313844,20.117304,
200707,39.884141,24.085188,
200708,36.580217,19.919772,
200709,22.151783,10.506384,
200710,37.603006,20.912688,
200711,38.854815,21.137112,
200712,34.776101,19.104120,
200801,38.831506,19.922832,
200802,30.819268,16.515504,
200803,37.211996,18.389592,
200804,34.919249,18.454644,
200805,42.107139,19.655172,
200806,41.621073,18.723996,
200807,43.432764,19.403964,
200808,39.902605,18.808128,
200809,14.468768,10.504548,
200810,40.023085,17.121744,
200811,41.844786,17.754588,
200812,40.489423,18.900756,
200901,36.882385,17.149356,
200902,38.681537,17.410464,
200903,41.895646,18.109728,
200904,41.838577,18.110124,
200905,40.985923,18.285948,
200906,38.885280,16.532784,
200907,42.868675,18.320256,
200908,41.253624,17.425296,
200909,31.123119,13.693320,
200910,43.364897,18.340920,
200911,40.278633,16.039728,
200912,36.229227,16.837812,
201001,42.046257,16.817004,
201002,39.472119,15.142248,
201003,42.969621,15.999264,
201004,36.634522,14.698080,
201005,40.717968,17.134056,
201006,41.264441,14.843664,
201007,40.416929,16.996572,
201008,22.592973,12.282552,
201009,29.020135,12.656340,
201010,44.390212,14.864868,
201011,43.679317,14.971500,
201012,41.975579,14.537052,
201101,41.370728,13.764528,
201102,37.309993,12.044808,
201103,38.970172,12.291552,
201104,38.728062,12.232332,
201105,43.716852,12.358620,
201106,36.292502,8.567496,
201107,37.595102,8.902080,
201108,37.753334,11.228076,
201109,37.326355,12.740904,
201110,39.559410,12.523176,
201111,36.547393,11.904480,
201112,42.633021,13.010076,
201201,41.896394,12.641544,
201202,38.356664,12.611088,
201203,40.120673,13.389120,
201204,39.244110,12.783600,
201205,38.831539,13.184640,
201206,33.201692,11.150892,
201207,42.429518,12.419748,
201208,42.706172,12.179664,
201209,35.175324,9.870444,
201210,38.776077,11.304684,
201211,39.980076,11.292984,
201212,41.081392,11.200680,
201301,31.755176,9.815076,
201302,32.207333,9.501192,
201303,40.677587,9.543060,
201304,34.452176,9.336096,
201305,35.198987,9.803628,
201306,34.193312,10.680228,
201307,31.468348,10.133460,
201308,32.509846,11.047104,
201309,7.441400,3.043980,
201310,27.854900,11.048328,
201311,27.390894,9.414972,
201312,38.158430,10.597248,
201401,37.608071,9.784440,
201402,30.248022,9.068292,
201403,34.664796,9.710712,
201404,33.103533,9.081180,
201405,35.401311,10.403604,
201406,30.087565,9.031464,
201407,29.573141,8.517708,
201408,32.397424,8.875728,
201409,27.489557,7.924032,
201410,30.092456,8.823888,
201411,31.065002,9.108324,
201412,32.006841,9.481680,
201501,33.882027,8.856504,
201502,30.327061,7.956468,
201503,33.451168,8.840988,
201504,33.690145,8.588628,
201505,33.991053,6.540120,
201506,27.128800,7.490232,
201507,27.628434,8.024292,
201508,29.966206,8.489556,
201509,26.115768,7.718328,
201510,37.459000,8.888868,
201511,33.078586,8.207748,
201512,33.227882,8.763624,
201601,35.705249,8.836884,
201602,34.633573,8.624700,
201603,36.187840,8.511516,
201604,36.433090,8.016804,
201605,36.137147,7.715772,
201606,34.244529,7.266096,
201607,35.296710,8.610228,
201608,30.254072,7.452828,
201609,13.833469,3.064824,
201610,38.801451,8.746488,
201611,34.510276,7.607376,
201612,33.450135,7.150896,
201701,35.376455,8.149032,
201702,31.642076,7.301556,
201703,35.502992,7.642152,
201704,32.975930,7.952472,
201705,35.360059,7.824240,
201706,32.243659,6.582168,
201707,30.196726,6.404400,
201708,31.066525,6.621552,
201709,31.231661,6.172020,
201710,35.536268,6.785244,
201711,32.518442,6.091488,
201712,34.856079,6.382152,
201801,35.776377,7.032924,
201802,32.699275,6.427944,
201803,34.986678,6.506892,
201804,28.647714,4.994064,
201805,33.114765,6.271092,
201806,30.667651,5.477508,
201807,32.824854,5.548248,
201808,32.617379,5.801976,
201809,24.293181,4.756320,
201810,31.499838,6.545520,
201811,29.033431,6.062508,
201812,31.367795,6.461352,
201901,31.245060,6.012288,
201902,28.224683,5.187024,
201903,30.662568,5.266728,
201904,29.073701,5.207184,
201905,27.813568,4.788324,
201906,28.633451,4.545792,
201907,32.326452,4.893804,
201908,33.334296,4.920588,
201909,29.227352,5.199696,
201910,28.583111,5.371308,
201911,23.485126,4.678668,
201912,21.889762,4.120092,
202001,24.655536,4.592340,
202002,20.104729,4.079196,
202003,24.121329,4.104216,
202004,24.587258,3.999168,
202005,25.097679,4.674636,
202006,20.842685,4.133664,
