"YYYYMM","Diesel","Natural gas","Flaring"
201001,0,0,0
201002,0,0,0
201003,0,0,0
201004,0,0,0
201005,0,0,0
201006,0,0,0
201007,0,0,0
201008,0,0,0
201009,0,0,0
201010,0,0,0
201011,0,0,0
201012,0,0,0
201101,0,0,0
201102,0,0,0
201103,0,0,0
201104,0,0,0
201105,0,0,0
201106,0,0,0
201107,0,0,0
201108,0,0,0
201109,0,0,0
201110,0,0,0
201111,0,0,0
201112,0,0,0
201201,0,0,0
201202,0,0,0
201203,0,0,0
201204,0,0,0
201205,0,0,0
201206,0,0,0
201207,0,0,0
201208,0,0,0
201209,0,0,0
201210,0,0,0
201211,0,0,0
201212,0,0,0
201301,0,0,0
201302,0,0,0
201303,0,0,0
201304,0,0,0
201305,0,0,0
201306,0,0,0
201307,0,0,0
201308,0,0,0
201309,0,0,0
201310,0,0,0
201311,0,0,0
201312,0,0,0
201401,0,0,0
201402,0,0,0
201403,0,0,0
201404,0,0,0
201405,0,0,0
201406,0,0,0
201407,0,0,0
201408,0,0,0
201409,0,0,0
201410,0,0,0
201411,0,0,0
201412,0,0,0
201501,0,0,0
201502,0,0,0
201503,0,0,0
201504,0,0,0
201505,0,0,0
201506,0,0,0
201507,0,0,0
201508,0,0,0
201509,0,0,0
201510,0,0,0
201511,0,0,0
201512,0,0,0
201601,0,0,0
201602,0,0,0
201603,0,0,0
201604,0,0,0
201605,0,0,0
201606,0,0,0
201607,0,0,0
201608,0,0,0
201609,0,0,0
201610,0,0,0
201611,0,0,0
201612,0,0,0
201701,0,0,0
201702,0,0,0
201703,0,0,0
201704,0,0,0
201705,0,0,0
201706,0,0,0
201707,0,0,0
201708,0,0,0
201709,0,0,0
201710,0,0,0
201711,0,0,0
201712,0,0,0
201801,0,0,0
201802,0,0,0
201803,0,0,0
201804,0,0,0
201805,0,0,0
201806,0,0,0
201807,0,0,0
201808,0,0,0
201809,0,0,0
201810,0,0,0
201811,0,0,0
201812,0,0,0
201901,0,0,0
201902,0,0,0
201903,0,0,0
201904,0,0,0
201905,0,0,0
201906,0,0,0
201907,0,0,0
201908,0,0,0
201909,0,0,0
201910,0,0,0
201911,0,0,0
201912,0,0,0
202001,0,0,0
202002,0,0,0
202003,0,0,0
202004,0,0,0
202005,0,0,0
202006,0,0,0
202007,0,0,0
202008,0,0,0
202009,0,0,0
202010,0,0,0
202011,0,0,0
202012,0,0,0
202101,0,0,0
202102,0,0,0
202103,0,0,0
202104,0,0,0
202105,0,0,0
202106,0,0,0
202107,0,0,0
202108,0,0,0
202109,0,0,0
202110,11.055150,0,3.122695
202111,33.238414,0,46.514733
202112,28.659371,0,20.262003
202201,61.505327,0,124.290146
202202,47.999250,3.040432,83.864602
202203,18.474261,55.485692,178.118978
202204,22.121355,22.645291,57.733389
202205,57.345643,10.397589,86.799807
202206,33.194562,30.465163,36.830079
202207,11.109689,50.945782,25.066721
202208,25.795350,43.632430,16.470189
202209,25.795350,0,0.136171
202210,60.066315,21.130970,17.880621
202211,82.913625,18.367219,9.531434
202212,46.063125,26.267749,36.363700
202301,34.639470,57.159910,12.250844
202302,38.720663,53.323203,7.177818
202303,53.433225,36.295269,11.860808
202304,63.595856,70.961361,32.384964
202305,98.061023,56.367929,10.544116
202306,77.497707,62.686267,13.485188
202307,72.024302,18.571828,38.716809
202308,44.373161,76.757098,8.173349
202309,29.521304,83.542580,4.577248
202310,28.780241,80.005347,9.102593
202311,18.511849,101.701392,8.092729
202312,36.876295,90.590288,5.436449
202401,33.203038,97.300492,6.591559
202402,7.370100,128.705119,3.319375
202403,14.774839,103.259008,6.735272
202404,38.693025,95.250441,6.834342
202405,9.242474,116.021257,2.183457
202406,47.236813,77.586702,3.248933
202407,9.216679,133.963772,2.045310
202408,0,134.183831,1.991313
202409,35.007975,45.883911,7.922383
202410,14.740200,79.729102,1.494865
202411,14.740200,75.185361,2.570704
202412,14.740200,71.341225,2.334095
202501,12.406089,77.685047,1.929010
202502,53.433225,28.630329,7.144491
202503,9.212625,85.847170,2.137175
202504,0,84.533921,4.422867
202505,11.055150,78.324603,3.752253
202506,0,74.710373,3.537408
