"YYYYMM","Natural gas","Oil","Others"
200901,0,95.832000,
200902,0,749.016000,
200903,0,828.756000,
200904,0,470.916000,
200905,0,550.368000,
200906,0,640.800000,
200907,0,386.532000,
200908,0,60.300000,
200909,0,1110.708000,
200910,0,955.764000,
200911,0,1438.920000,
200912,0,1365.156000,
201001,0,854.028000,
201002,0,1000.512000,
201003,0,1116.324000,
201004,0,1091.808000,
201005,0,1051.272000,
201006,0,170.172000,
201007,0,646.272000,
201008,0,1043.352000,
201009,0,807.012000,
201010,0,1043.352000,365.256000
201011,0,922.140000,253.584000
201012,0,747.036000,264.384000
201101,3115.008000,530.532000,128.268000
201102,2443.096800,412.020000,48.168000
201103,2735.784000,394.020000,91.152000
201104,2221.473600,318.096000,91.152000
201105,1901.887200,318.240000,75.204000
201106,1281.880800,228.204000,59.796000
201107,0.392400,4.896000,0
201108,0,0,0
201109,127.990800,0.396000,0
201110,2155.878000,280.584000,52.776000
201111,1956.121200,299.088000,77.400000
201112,1952.877600,241.380000,80.676000
201201,1519.419600,247.392000,20.520000
201202,1492.200000,286.092000,56.844000
201203,1403.114400,216.216000,60.408000
201204,1582.617600,252.684000,63.540000
201205,1265.360400,245.448000,46.800000
201206,804.538800,93.312000,31.212000
201207,1026.669600,145.980000,34.848000
201208,691.322400,126.828000,34.848000
201209,508.935600,79.812000,17.784000
201210,730.472400,97.488000,26.856000
201211,650.728800,118.872000,24.588000
201212,613.818000,143.820000,22.716000
201301,482.817600,185.220000,22.716000
201302,320.299200,147.780000,12.924000
201303,348.555600,143.568000,13.680000
201304,212.058000,116.136000,9.432000
201305,157.557600,69.264000,9.432000
201306,77.101200,13.356000,2.772000
201307,45.514800,12.132000,0.684000
201308,0.054000,1.440000,
201309,58.579200,11.376000,2.268000
201310,372.394800,52.308000,18
201311,136.591200,62.316000,3.996000
201312,277.948800,72.468000,6.984000
201401,369.183600,282.960000,8.820000
201402,223.185600,67.464000,8.460000
201403,339.015600,55.548000,9.108000
201404,338.583600,48.960000,11.304000
201405,93.294000,111.348000,2.736000
201406,0,0,0
201407,76.136400,144.972000,2.232000
201408,100.000800,18.432000,3.456000
201409,2.570400,20.664000,0
201410,0,0,0
201411,0,0,0
201412,0,0,0
201501,0,0,0
201502,0,0,0
201503,0,0,0
201504,0,0,0
201505,0,0,0
201506,0,0,0
201507,0,0,0
201508,617.090400,240.480000,19.584000
201509,79.671600,140.760000,2.376000
201510,0,0,0
201511,79.707600,103.032000,2.808000
201512,6.375600,16.740000,0.252000
201601,0,0,0
201602,0,0,0
201603,0,0,0
201604,0,0,0
201605,0,0,0
201606,0,0,0
201607,0,0,0
201608,0,0,0
201609,0,0,0
201610,0,0,0
201611,263.404800,181.548000,12.276000
201612,0.115200,0,0.036000
201701,142.304400,70.956000,6.480000
201702,0,0,0
201703,73.918800,30.312000,1.656000
201704,28.526400,27.432000,0.936000
201705,0,0,0
201706,147.758400,0,4.824000
201707,141.850800,99.540000,5.904000
201708,119.152800,35.640000,1.872000
201709,0,0,0
201710,58.438800,38.844000,2.124000
201711,0,0,0
201712,0,0,0
201801,0,0,0
201802,20.887200,5.724000,0.828000
201803,150.480000,79.884000,4.968000
201804,0,0,0
201805,0,0,0
201806,0,0,0
201807,0,0,0
201808,0,0,0
201809,0,0,0
201810,0,0,0
201811,0,0,0
201812,0,0,0
201901,0,0,0
201902,0,0,0
201903,0,0,0
201904,0,0,0
201905,0,0,0
201906,0,0,0
201907,0,0,0
201908,0,0,0
201909,0,0,0
201910,0,0,0
201911,90.918000,18.792000,3.276000
201912,90.918000,58.176000,8.280000
202001,0,0,0
202002,0,0,0
202003,0,0,0
202004,0,0,0
202005,0,0,0
202006,0,0,0
202007,0,0,0
202008,0,0,0
202009,0,0,0
202010,0,0,0
202011,228.718800,67.212000,8.604000
202012,12.110400,6.408000,0.684000
202101,0,0,0
202102,52.534800,12.096000,1.404000
202103,125.989200,52.956000,4.644000
202104,60.285600,45.432000,4.500000
202105,7.376400,10.008000,0.468000
202106,0,0,0
202107,64.494000,35.388000,0
202108,36.741600,28.584000,0.684000
202109,0,0,0
202110,35.373600,32.364000,0.360000
202111,16.012800,15.264000,0.684000
202112,0,0,0
202201,0,0,0
202202,27.522000,21.420000,0.540000
202203,9.201600,8.244000,0.144000
202204,0,0,0
202205,0,0,0
202206,0,0,0
202207,68.587200,78.588000,1.296000
202208,0,0,0.108000
202209,0,0,0
202210,0,0,0
202211,0,0,0
202212,0,0,0
202301,0,0,0
202302,17.172000,4.500000,0
202303,57.808800,25.920000,1.836000
202304,0,0,0
202305,0,0,0
202306,0,0,0
202307,0,0,0
202308,0,0,0
202309,0,0,0
202310,0,0,0
202311,0,0,0
202312,0,0,0
202401,0,0,0
202402,0,0,0
202403,175.410000,32.796000,17.892000
202404,0,0,0
202405,0,0,0
202406,0,0,0
202407,0,0,0
202408,0,0,0
202409,0,0,0
202410,0,0,0
202411,0,0,0
202412,,,
202501,,,
202502,,,
202503,,,
202504,,,
202505,,,
202506,,,
