"YYYYMM","Natural gas","Oil","Others"
201012,,645.120000,35.028000
201101,2010.430672,1401.984000,
201102,2565.540000,2321.712000,118.368000
201103,3342.507200,2758.104000,
201104,2867.637500,2317.824000,158.220000
201105,2396.038500,2015.676000,204.912000
201106,2607.200300,2416.248000,257.256000
201107,2315.946100,1998.468000,182.772000
201108,2652.899900,2365.992000,205.668000
201109,2475.873600,1983.096000,144.360000
201110,2170.822600,1862.676000,125.100000
201111,444.959200,398.772000,33.228000
201112,2150.591100,1849.356000,161.604000
201201,2947.974700,2447.208000,167.688000
201202,3081.155200,2599.812000,237.888000
201203,2770.917000,2393.136000,147.924000
201204,2768.706100,2362.824000,158.580000
201205,2951.841000,2428.956000,170.280000
201206,2731.837900,2254.824000,173.700000
201207,3902.311100,3100.032000,236.844000
201208,2831.188600,2181.960000,144.936000
201209,3204.159700,2116.152000,171.504000
201210,4601.638500,3466.512000,337.500000
201211,2513.349200,1879.056000,167.148000
201212,4834.441300,3671.100000,131.688000
201301,4927.647900,3528.828000,301.428000
201302,4490.854900,3177.036000,309.456000
201303,3618.406100,2265.768000,232.956000
201304,4601.337100,3165.840000,301.824000
201305,4232.732900,2864.592000,268.164000
201306,4843.487800,3200.976000,320.976000
201307,4866.791000,3246.084000,332.028000
201308,4628.594300,2842.416000,319.608000
201309,5228.901200,2787.156000,233.712000
201310,4569.014400,2933.748000,329.112000
201311,5282.809300,3003.228000,298.152000
201312,5020.507700,2945.412000,279.720000
201401,4538.626200,2961.288000,326.232000
201402,5452.417100,4025.196000,384.948000
201403,5630.927300,3856.284000,446.796000
201404,4551.990100,3240.288000,249.084000
201405,5099.405400,3375.216000,354.456000
201406,5673.791400,4023.396000,392.148000
201407,5992.861100,4156.056000,454.716000
201408,2295.514300,1596.852000,126.756000
201409,5680.083100,3506.832000,265.536000
201410,6141.460600,4035.924000,325.836000
201411,5208.492300,3623.868000,367.020000
201412,6231.207100,4176.180000,420.588000
201501,5114.759800,3556.368000,313.488000
