"YYYYMM","Diesel","Natural gas","Flaring"
201301,0,17.954371,780.740470
201302,0,91.332829,414.617037
201303,0,211.265163,147.669811
201304,86.648547,319.662322,209.988363
201305,156.955638,290.875123,159.561858
201306,7.835429,295.298117,404.344141
201307,34.694714,337.926608,82.453024
201308,33.953524,335.523860,379.996294
201309,35.330019,216.879452,354.180466
201310,28.941674,371.883206,322.862469
201311,6.000103,388.325759,63.525582
201312,30.635820,236.394417,216.690140
201401,21.106245,437.270630,29.500732
201402,6.105987,390.634594,59.408324
201403,8.329555,417.938713,55.386759
201404,18.106193,379.669403,79.588822
201405,8.682502,452.758543,23.880191
201406,32.224083,436.056593,43.555264
201407,7.764839,425.900457,6.628262
201408,3.317704,410.416373,19.267743
201409,23.400402,295.449884,86.942455
201410,3.988304,374.021971,18.767879
201411,63.601093,88.065417,71.079060
201412,4.376546,334.630580,19.850204
201501,1.411789,339.112710,11.051333
201502,1.411789,408.324337,5.165556
201503,0,434.002918,50.025255
201504,45.036068,400.199866,0.914710
201505,15.247321,332.643368,84.687091
201506,4.447135,397.854253,14.688570
201507,0.811779,420.751051,2.612401
201508,6.741292,408.423177,63.565467
201509,12.211975,329.402766,42.789348
201510,5.505977,369.727682,8.404034
201511,2.752988,407.836615,9.326204
201512,2.400041,449.963883,19.444492
201601,1.341200,432.929283,0
201602,2.223568,404.506178,0.718559
201603,0.388242,435.870369,0.860824
201604,16.235573,370.413387,42.126312
201605,2.258862,427.228391,4.715407
201606,4.800082,423.346602,14.526186
201607,1.764736,425.945609,18.361887
201608,3.988304,356.996888,25.540315
201609,30.388757,131.728447,83.426859
201610,3.741241,406.972084,15.988165
201611,1.411789,484.970913,16.102310
201612,0.564716,600.289758,36.920104
201701,0.141179,644.508013,9.336658
201702,3.035346,559.713936,37.665585
201703,0.952958,588.106036,0.143903
201704,1.023547,598.962403,2.835044
201705,0.635305,590.354557,0.010291
201706,3.882420,551.362549,22.846121
201707,1.835326,567.965319,5.053830
201708,0.282358,556.042964,3.927335
201709,7.906018,466.443105,21.318954
201710,1.482378,565.231227,1.048311
201711,2.047094,535.292512,9.200699
201712,0.529421,579.376802,0.091359
201801,1.852973,578.453053,34.499075
201802,0.441184,524.233275,0.311682
201803,2.117683,572.770853,9.418637
201804,1.447084,522.423768,4.249371
201805,0,546.742457,17.807347
201806,2.117683,485.085296,1.273458
201807,1.200021,526.227660,1.042171
201808,1.023547,564.097345,1.095763
201809,7.306008,424.096646,2.419816
201810,7.870723,479.947259,29.932626
201811,1.058842,551.101121,13.290578
201812,1.058842,587.115330,2.369397
201901,1.235315,562.973719,9.908113
201902,1.941210,432.305389,15.653551
201903,3.635357,478.140154,31.789226
201904,2.964757,539.439251,39.938251
201905,0.529421,569.732375,7.157827
201906,1.588263,543.630493,13.930841
201907,0.105884,556.589734,0.009907
201908,1.058842,550.647233,10.519623
201909,0.352947,519.641478,8.726233
201910,0.176474,554.603331,0.184961
201911,0.529421,529.429568,0
201912,1.517673,549.752299,0.213088
202001,0.282358,546.240433,14.195954
202002,1.376494,500.727640,0.216863
202003,0,538.953107,1.555843
202004,1.581204,501.627332,2.929850
202005,1.277669,422.925527,0.083564
202006,2.929462,368.497744,5.235773
202007,0.988252,426.417925,7.332488
202008,8.188376,310.561278,4.620802
202009,6.529524,378.070524,23.803246
202010,1.729441,413.737194,0
202011,1.376494,453.378803,0.281149
202012,2.188273,542.440319,0.000431
202101,1.447084,547.990255,0.021717
202102,25.376907,347.386049,4.802121
202103,13.694353,457.935063,10.041020
202104,0.811779,483.175002,0.759942
202105,14.647310,214.343850,2.976992
202106,18.176783,257.711251,55.924603
202107,0,595.895639,4.193501
202108,0,520.126372,105.134593
202109,1.058842,469.979795,14.982324
202110,0.458831,425.058804,15.271347
202111,1.341200,494.313240,8.660732
202112,0.882368,556.067056,8.885368
202201,0.141179,445.662992,19.303864
202202,2.470631,374.606484,2.159373
202203,1.517673,470.416962,30.124548
202204,1.552968,506.223843,4.441836
202205,7.729545,402.330187,11.292519
202206,0.141179,524.871417,11.620109
202207,0.635305,555.211149,0
202208,1.552968,554.554866,6.081331
202209,3.105936,511.080213,42.489322
202210,0,547.277568,3.409540
202211,8.682502,524.269787,0.228049
202212,1.648264,539.040027,0.110786
202301,0.670600,539.179264,0.113897
202302,0.134120,487.760591,5.103165
202303,1.023547,537.214438,6.101029
202304,0.635305,516.136913,0.106350
202305,0.282358,525.367024,1.445861
202306,0.458831,494.878079,19.442600
202307,1.623557,521.628962,1.716164
202308,0.141179,528.778747,0.765358
202309,7.447187,377.574259,162.529298
202310,10.764891,446.192332,10.389897
202311,0.741189,527.152701,17.181759
202312,0.035295,538.366767,0
202401,1.305905,535.370820,0.146566
202402,4.941261,484.945390,26.551413
202403,17.477947,510.401942,4.408624
202404,21.035656,486.252314,15.812713
202405,21.138010,525.205692,12.255871
202406,22.765097,524.946980,3.942497
202407,16.412047,547.911535,1.579842
202408,17.117941,516.488333,8.997666
202409,63.318735,0,0
202410,19.517982,544.402706,58.206712
202411,1.905915,588.537327,0.966652
202412,0.917663,617.300288,14.406295
202501,3.247115,616.886877,1.532047
202502,2.505925,551.662900,12.375890
202503,2.505925,598.908384,11.393380
