"YYYYMM","Natural gas"
201001,1.131084
201002,1.065364
201003,1.079300
201004,1.040112
201005,1.582939
201006,0.989066
201007,0.984476
201008,1.008890
201009,0.952578
201010,1.030252
201011,1.042680
201012,1.198521
201101,0
201102,0
201103,0
201104,0
201105,0
201106,0
201107,0
201108,0
201109,0
201110,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201208,0
201209,0
201210,0
201211,0
201212,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
201312,0
201401,0
201402,0
201403,1.145237
201404,1.059495
201405,1.071259
201406,0.987428
201407,0.998105
201408,0.769253
201409,0.986496
201410,0.912399
201411,1.025931
201412,1.127516
201501,1.116189
201502,1.004486
201503,1.088398
201504,1.066571
201505,1.102614
201506,1.073352
201507,1.100606
201508,1.113454
201509,1.080684
201510,1.115558
201511,1.133981
201512,1.185218
201601,1.246891
201602,1.151027
201603,1.214394
201604,1.162055
201605,1.128050
201606,1.041766
201607,1.048908
201608,1.067085
201609,1.038774
201610,1.137740
201611,1.161365
201612,1.201692
201701,1.263315
201702,1.171990
201703,1.257386
201704,1.172995
201705,1.204303
201706,1.095907
201707,1.079392
201708,1.072947
201709,1.031689
201710,1.170203
201711,1.181832
201712,1.168127
201801,1.254518
201802,1.156548
201803,1.302303
201804,0.968159
201805,1.232211
201806,1.067758
201807,1.106846
201808,1.087602
201809,1.066030
201810,1.177345
201811,1.146256
201812,1.197934
201901,1.229845
201902,1.101169
201903,1.192829
201904,1.130859
201905,1.125332
201906,1.026061
201907,1.096850
201908,1.092307
201909,1.061590
201910,1.136298
201911,1.103440
201912,1.147639
202001,1.172016
202002,1.098630
202003,1.195255
202004,1.127352
202005,1.099523
202006,1.043871
202007,1.091785
202008,1.035425
202009,1.043720
202010,1.026938
202011,1.047105
202012,1.079364
202101,1.191647
202102,1.179162
202103,1.207263
202104,1.174333
202105,1.174607
202106,1.077914
202107,1.043334
202108,1.006092
202109,0.996491
202110,1.092964
202111,1.083647
202112,1.186480
202201,1.194074
202202,1.088336
202203,1.167238
202204,1.128786
202205,1.110167
202206,1.006340
202207,1.032072
202208,1.026330
202209,1.004068
202210,1.024335
202211,1.038786
202212,1.154625
202301,1.156629
202302,1.119851
202303,1.129526
202304,1.090409
202305,1.125930
202306,1.034414
202307,1.016740
202308,1.002883
202309,0.999703
202310,1.049452
202311,1.086923
202312,1.144702
202401,1.182503
202402,1.076946
202403,1.138356
202404,1.104950
202405,1.023104
202406,1.015321
202407,1.014847
202408,1.023224
202409,0.998838
202410,1.190660
202411,1.053410
202412,0.993572
202501,1.126781
202502,1.011990
202503,1.084545
