"YYYYMM","Diesel","CNG","Plugin hybrid","Battery electric","Others"
201901,786,1,0,0,43
201902,665,2,0,0,46
201903,778,4,0,0,63
201904,911,15,0,0,40
201905,1117,3,0,0,64
201906,1414,7,0,0,96
201907,391,3,0,0,36
201908,449,3,2,0,25
201909,701,2,2,0,39
201910,686,6,0,0,58
201911,639,12,2,0,15
201912,696,1,0,0,30
202001,529,12,0,0,63
202002,563,0,1,0,50
202003,553,2,0,0,41
202004,423,8,0,0,35
202005,355,6,0,0,23
202006,508,3,0,0,15
202007,548,0,1,0,65
202008,436,3,0,0,26
202009,666,11,0,0,76
202010,606,15,0,0,56
202011,702,7,0,0,56
202012,825,14,0,0,59
202101,423,9,0,0,63
202102,543,2,1,0,64
202103,771,6,0,0,90
202104,764,9,0,0,52
202105,796,7,0,0,55
202106,698,6,0,0,84
202107,554,2,0,0,124
202108,428,0,0,1,64
202109,527,2,0,0,78
202110,601,6,0,0,67
202111,637,5,0,1,98
202112,933,11,0,0,97
202201,569,1,0,0,62
202202,578,2,0,0,73
202203,673,5,0,0,66
202204,664,1,0,0,81
202205,782,1,0,0,90
202206,763,2,0,0,74
202207,513,1,0,0,66
202208,538,4,0,1,92
202209,644,3,0,2,76
202210,663,4,0,0,76
202211,761,4,0,0,91
202212,868,27,0,1,66
202301,698,1,0,1,89
202302,795,1,0,0,71
202303,953,2,0,2,47
202304,754,0,0,0,45
202305,834,0,0,0,57
202306,825,0,0,2,73
202307,627,1,0,2,55
202308,1223,11,0,1,146
202309,475,1,0,0,107
202310,759,2,0,1,90
202311,699,0,0,0,80
202312,802,5,0,1,76
202401,665,1,0,0,0
202402,751,0,0,0,0
202403,793,0,0,2,1
202404,859,0,0,3,1
202405,785,0,0,2,2
202406,922,0,0,1,0
202407,660,0,0,2,0
202408,669,0,0,2,1
202409,707,1,0,3,0
202410,833,3,0,6,0
202411,786,2,0,4,0
202412,703,0,0,2,0
202501,617,1,0,5,0
202502,588,3,0,4,0
202503,731,0,0,6,1
202504,801,1,0,21,0
202505,778,2,0,9,1
202506,912,4,0,12,1
202507,668,0,0,7,1
202508,544,2,0,10,2
202509,821,1,0,16,0
202510,840,2,0,9,0
202511,810,0,0,17,0
202512,883,10,0,20,1
202601,731,0,0,14,0
202602,726,0,0,12,0
202603,832,0,0,6,0
202604,912,2,0,6,1
202605,764,0,0,8,10
202606,1007,2,0,15,5
202607,734,2,0,17,8
202608,549,0,0,9,4
